"Model","Metric","Report_Target","Computed_Value","Absolute_Diff","Tolerance","Status"
"Simple Linear Regression","R²",0.9271,0.927109838990493,9.83899049267212e-06,0.005,"PASS"
"Simple Linear Regression","Adjusted R²",0.9266,0.926617337902591,1.73379025906195e-05,0.005,"PASS"
"Simple Linear Regression","RMSE (cm)",0.475,0.475007039714879,7.03971487880928e-06,0.005,"PASS"
"Simple Linear Regression","Slope (Petal.Width)",2.2299,2.22994049512186,4.0495121860662e-05,0.005,"PASS"
"Multiple Linear Regression","R²",0.968,0.968011769391222,1.17693912218275e-05,0.005,"PASS"
"Multiple Linear Regression","Adjusted R²",0.9674,0.967354476981452,4.55230185476552e-05,0.005,"PASS"
"Multiple Linear Regression","RMSE (cm)",0.3147,0.31467388380897,2.6116191029768e-05,0.005,"PASS"
"Multiple Linear Regression","Coef: Petal.Width",1.4468,1.44679341433699,6.58566300515417e-06,0.005,"PASS"
"Multiple Linear Regression","Coef: Sepal.Length",0.7291,0.729138446293279,3.84462932787599e-05,0.005,"PASS"
"Multiple Linear Regression","Coef: Sepal.Width",-0.646,-0.646012437372782,1.24373727815597e-05,0.005,"PASS"
"Multicollinearity","VIF: Petal.Width",3.89,3.88996082517842,3.91748215760046e-05,0.005,"PASS"
"Multicollinearity","VIF: Sepal.Length",3.416,3.41573308144536,0.000266918554635787,0.005,"PASS"
"Multicollinearity","VIF: Sepal.Width",1.306,1.30551501806886,0.000484981931142547,0.005,"PASS"
"Logistic (th=0.5)","Accuracy",0.94,0.94,0,0.005,"PASS"
"Logistic (th=0.5)","F1-Score",0.94,0.94,0,0.005,"PASS"
"Logistic (th=0.5)","TN Count",47,47,0,0,"PASS"
"Logistic (th=0.5)","TP Count",47,47,0,0,"PASS"
"Logistic (th=0.3)","Accuracy",0.96,0.96,0,0.005,"PASS"
"Logistic (th=0.7)","Accuracy",0.95,0.95,0,0.005,"PASS"
"Decision Tree (Depth 3)","Test Accuracy",0.9778,0.977777777777778,2.22222222222568e-05,0.005,"PASS"
"Decision Tree (Depth 3)","Test Macro F1",0.9778,0.977753058954394,4.6941045606208e-05,0.005,"PASS"
"Decision Tree (Unrestricted)","Train Accuracy",1,1,0,0.005,"PASS"
"Decision Tree (Unrestricted)","Test Accuracy",0.9333,0.933333333333333,3.33333333333297e-05,0.005,"PASS"
"KNN (Raw, k=5)","Test Accuracy",0.9778,0.977777777777778,2.22222222222568e-05,0.005,"PASS"
"KNN (Normalised, k=5)","Test Accuracy",0.9333,0.933333333333333,3.33333333333297e-05,0.005,"PASS"
"KNN (Normalised, k=5)","Test Macro F1",0.9327,0.933259176863181,0.000559176863181299,0.005,"PASS"
